iter	Passed	Remaining
0	138	137945
1	139	69464
2	140	46605
3	141	35169
4	142	28319
5	143	23741
6	144	20456
7	145	18004
8	146	16096
9	147	14565
10	148	13311
11	149	12273
12	150	11391
13	151	10635
14	151	9973
15	152	9395
16	153	8888
17	154	8435
18	155	8029
19	156	7665
20	157	7336
21	158	7036
22	159	6760
23	160	6508
24	161	6279
25	161	6065
26	162	5869
27	163	5685
28	164	5513
29	165	5352
30	166	5204
31	167	5061
32	168	4927
33	169	4804
34	169	4685
35	170	4573
36	171	4468
37	172	4367
38	173	4273
39	174	4181
40	175	4095
41	175	4012
42	176	3937
43	177	3864
44	178	3794
45	179	3726
46	189	3836
47	197	3921
48	201	3917
49	204	3888
50	207	3860
51	209	3816
52	211	3777
53	213	3740
54	215	3695
55	216	3654
56	218	3613
57	219	3572
58	221	3528
59	222	3487
60	223	3447
61	225	3409
62	226	3370
63	227	3330
64	228	3293
65	230	3257
66	231	3221
67	232	3186
68	233	3150
69	234	3114
70	235	3081
71	236	3048
72	237	3017
73	238	2985
74	239	2953
75	240	2922
76	241	2892
77	242	2861
78	243	2833
79	243	2805
80	244	2778
81	245	2751
82	246	2721
83	252	2758
84	262	2825
85	266	2833
86	270	2833
87	272	2825
88	275	2817
89	277	2804
90	279	2791
91	281	2776
92	282	2759
93	284	2743
94	286	2726
95	287	2709
96	289	2692
97	290	2676
98	292	2658
99	293	2642
100	294	2623
101	295	2605
102	297	2587
103	298	2568
104	299	2551
105	300	2533
106	301	2515
107	302	2497
108	303	2479
109	304	2462
110	305	2444
111	306	2427
112	307	2410
113	315	2453
114	323	2490
115	326	2486
116	328	2479
117	331	2474
118	333	2466
119	335	2458
120	337	2448
121	338	2435
122	340	2425
123	341	2414
124	343	2401
125	344	2389
126	345	2376
127	347	2364
128	348	2352
129	349	2340
130	350	2327
131	352	2314
132	353	2302
133	354	2289
134	355	2276
135	356	2263
136	357	2250
137	358	2237
138	359	2225
139	360	2212
140	361	2199
141	361	2185
142	362	2172
143	363	2160
144	364	2148
145	365	2136
146	366	2124
147	367	2112
148	367	2101
149	368	2089
150	369	2078
151	370	2067
152	379	2101
153	388	2133
154	392	2137
155	394	2135
156	397	2132
157	399	2128
158	401	2122
159	403	2117
160	404	2108
161	406	2101
162	407	2094
163	409	2087
164	410	2079
165	412	2070
166	413	2062
167	414	2054
168	416	2045
169	417	2037
170	418	2028
171	419	2019
172	420	2010
173	421	2002
174	422	1993
175	423	1984
176	424	1975
177	425	1966
178	426	1957
179	427	1948
180	428	1939
181	429	1930
182	430	1921
183	431	1912
184	432	1904
185	433	1895
186	433	1886
187	434	1878
188	435	1870
189	436	1862
190	437	1853
191	438	1845
192	439	1837
193	449	1869
194	458	1891
195	461	1892
196	463	1890
197	466	1888
198	468	1885
199	470	1881
200	472	1877
201	473	1872
202	475	1866
203	477	1861
204	478	1856
205	479	1849
206	481	1843
207	482	1836
208	483	1830
209	484	1824
210	486	1817
211	487	1810
212	488	1804
213	489	1797
214	490	1790
215	491	1784
216	492	1777
217	493	1770
218	494	1763
219	495	1756
220	496	1749
221	497	1743
222	498	1736
223	499	1728
224	499	1722
225	500	1715
226	501	1708
227	502	1701
228	511	1722
229	520	1743
230	523	1744
231	526	1743
232	529	1742
233	531	1739
234	533	1736
235	535	1733
236	536	1728
237	538	1724
238	539	1719
239	541	1714
240	542	1709
241	544	1703
242	545	1698
243	546	1693
244	547	1687
245	548	1682
246	549	1676
247	550	1670
248	552	1665
249	553	1659
250	554	1653
251	554	1647
252	555	1641
253	556	1635
254	557	1629
255	558	1623
256	559	1618
257	560	1612
258	561	1606
259	562	1600
260	563	1594
261	564	1589
262	565	1583
263	565	1577
264	566	1571
265	567	1566
266	568	1560
267	569	1554
268	570	1549
269	571	1543
270	571	1538
271	572	1532
272	573	1527
273	574	1521
274	575	1516
275	576	1511
276	584	1526
277	593	1541
278	597	1543
279	600	1543
280	603	1543
281	605	1541
282	607	1539
283	609	1536
284	610	1532
285	612	1529
286	614	1525
287	615	1522
288	617	1518
289	618	1514
290	619	1510
291	621	1506
292	622	1502
293	623	1498
294	624	1493
295	626	1489
296	627	1484
297	628	1480
298	629	1475
299	630	1470
300	631	1466
301	632	1461
302	633	1456
303	634	1451
304	634	1446
305	635	1441
306	644	1454
307	653	1469
308	658	1472
309	661	1472
310	663	1470
311	666	1469
312	668	1466
313	670	1464
314	672	1462
315	674	1458
316	675	1455
317	677	1452
318	678	1448
319	680	1445
320	681	1441
321	682	1437
322	683	1433
323	685	1429
324	686	1425
325	687	1421
326	688	1417
327	689	1412
328	690	1408
329	691	1404
330	692	1400
331	693	1395
332	694	1391
333	695	1387
334	696	1382
335	697	1378
336	698	1373
337	699	1369
338	700	1365
339	700	1360
340	701	1356
341	702	1351
342	703	1347
343	704	1343
344	705	1339
345	714	1350
346	723	1360
347	727	1362
348	729	1361
349	732	1360
350	734	1358
351	736	1356
352	738	1354
353	740	1351
354	742	1348
355	744	1345
356	745	1342
357	747	1339
358	748	1336
359	749	1333
360	751	1329
361	752	1326
362	753	1322
363	754	1318
364	755	1315
365	757	1311
366	758	1307
367	759	1303
368	760	1300
369	761	1296
370	762	1292
371	763	1288
372	764	1284
373	765	1280
374	766	1276
375	766	1272
376	767	1268
377	768	1264
378	769	1260
379	770	1257
380	779	1266
381	787	1274
382	791	1274
383	793	1273
384	796	1271
385	797	1269
386	799	1267
387	801	1264
388	803	1261
389	804	1259
390	806	1256
391	808	1253
392	809	1250
393	810	1246
394	812	1243
395	813	1240
396	814	1237
